school;pool;pmi;user0;user1;user2;user3;user4;user5;user6
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;384.75;;;;;;;
0;330;389.5;;;;;;;
0;330;394.25;;;;;;;
0;330;399;;;;;;;
0;330;403.75;;;;;;;
0;330;408.5;;;;;;;
0;330;413.25;;;;;;;
0;330;418;;;;;;;
0;330;432.25;;;;;;;
0;330;446.5;;;;;;;
0;330;460.75;;;;;;;
0;330;475;;;;;;;
0;330;584.25;;;;;;;
0;330;693.5;;;;;;;
0;330;802.75;;;;;;;
500;410;912;;;;;;;
500;410;907.25;;;;;;;
500;410;902.5;;;;;;;
500;410;897.75;;;;;;;
500;410;893;;;;;;;
500;410;916.75;;;;;;;
500;410;940.5;;;;;;;
500;410;964.25;;;;;;;
500;410;988;;;;;;;
492.1818182;410;978.5;;;;;;;
492.1818182;410;969;;;;;;;
492.1818182;410;959.5;;;;;;;
492.1818182;410;950;;;;;;;
458;404.3138462;935.75;;;;;;;
458;404.3138462;921.5;;;;;;;
458;404.3138462;907.25;;;;;;;
458;404.3138462;893;;;;;;;
441.6363636;402.0984615;897.75;;;;;;;
441.6363636;402.0984615;902.5;;;;;;;
441.6363636;402.0984615;907.25;;;;;;;
441.6363636;402.0984615;912;;;;;;;
432.9090909;400.9169231;926.25;;;;;;;
432.9090909;400.9169231;940.5;;;;;;;
432.9090909;400.9169231;954.75;;;;;;;
432.9090909;400.9169231;969;;;;;;;
432.5454545;400.8676923;978.5;;;;;;;
432.5454545;400.8676923;988;;;;;;;
432.5454545;400.8676923;997.5;;;;;;;
432.5454545;400.8676923;1007;;;;;;;
438;401.6061538;973.75;;;;;;;
438;401.6061538;940.5;;;;;;;
438;401.6061538;907.25;;;;;;;
438;401.6061538;874;;;;;;;
451.6363636;403.4523077;888.25;;;;;;;
451.6363636;403.4523077;902.5;;;;;;;
451.6363636;403.4523077;916.75;;;;;;;
451.6363636;403.4523077;931;;;;;;;
473.6363636;406.4307692;940.5;;;;;;;
473.6363636;406.4307692;950;;;;;;;
473.6363636;406.4307692;959.5;;;;;;;
473.6363636;406.4307692;969;;;;;;;
500;410;959.5;;;;;;;
500;410;950;;;;;;;
500;410;940.5;;;;;;;
500;410;931;;;;;;;
0;410;817;;;;;;;
0;410;703;;;;;;;
0;410;589;;;;;;;
0;410;475;;;;;;;
0;410;460.75;;;;;;;
0;410;446.5;;;;;;;
0;410;432.25;;;;;;;
0;410;418;;;;;;;
0;410;413.25;;;;;;;
0;410;408.5;;;;;;;
0;410;403.75;;;;;;;
0;410;399;;;;;;;
0;410;394.25;;;;;;;
0;410;389.5;;;;;;;
0;410;384.75;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;384.75;;;;;;;
0;330;389.5;;;;;;;
0;330;394.25;;;;;;;
0;330;399;;;;;;;
0;330;403.75;;;;;;;
0;330;408.5;;;;;;;
0;330;413.25;;;;;;;
0;330;418;;;;;;;
0;330;432.25;;;;;;;
0;330;446.5;;;;;;;
0;330;460.75;;;;;;;
0;330;475;;;;;;;
0;330;584.25;;;;;;;
0;330;693.5;;;;;;;
0;330;802.75;;;;;;;
500;410;912;;;;;;;
500;410;907.25;;;;;;;
500;410;902.5;;;;;;;
500;410;897.75;;;;;;;
500;410;893;;;;;;;
500;410;916.75;;;;;;;
500;410;940.5;;;;;;;
500;410;964.25;;;;;;;
500;410;988;;;;;;;
480.1818182;407.3169231;978.5;;;;;;;
480.1818182;407.3169231;969;;;;;;;
480.1818182;407.3169231;959.5;;;;;;;
480.1818182;407.3169231;950;;;;;;;
426.7272727;400.08;935.75;;;;;;;
426.7272727;400.08;921.5;;;;;;;
426.7272727;400.08;907.25;;;;;;;
426.7272727;400.08;893;;;;;;;
391.6363636;395.3292308;897.75;;;;;;;
391.6363636;395.3292308;902.5;;;;;;;
391.6363636;395.3292308;907.25;;;;;;;
391.6363636;395.3292308;912;;;;;;;
372;392.6707692;926.25;;;;;;;
372;392.6707692;940.5;;;;;;;
372;392.6707692;954.75;;;;;;;
372;392.6707692;969;;;;;;;
363.2727273;391.4892308;978.5;;;;;;;
363.2727273;391.4892308;988;;;;;;;
363.2727273;391.4892308;997.5;;;;;;;
363.2727273;391.4892308;1007;;;;;;;
364.9090909;391.7107692;973.75;;;;;;;
364.9090909;391.7107692;940.5;;;;;;;
364.9090909;391.7107692;907.25;;;;;;;
364.9090909;391.7107692;874;;;;;;;
386.3636364;394.6153846;888.25;;;;;;;
386.3636364;394.6153846;902.5;;;;;;;
386.3636364;394.6153846;916.75;;;;;;;
386.3636364;394.6153846;931;;;;;;;
394;395.6492308;940.5;;;;;;;
394;395.6492308;950;;;;;;;
394;395.6492308;959.5;;;;;;;
394;395.6492308;969;;;;;;;
402.9090909;396.8553846;959.5;;;;;;;
402.9090909;396.8553846;950;;;;;;;
402.9090909;396.8553846;940.5;;;;;;;
402.9090909;396.8553846;931;;;;;;;
0;399.9569231;817;;;;;;;
0;399.9569231;703;;;;;;;
0;399.9569231;589;;;;;;;
0;399.9569231;475;;;;;;;
0;402.0984615;460.75;;;;;;;
0;402.0984615;446.5;;;;;;;
0;402.0984615;432.25;;;;;;;
0;402.0984615;418;;;;;;;
0;404.0430769;413.25;;;;;;;
0;404.0430769;408.5;;;;;;;
0;404.0430769;403.75;;;;;;;
0;404.0430769;399;;;;;;;
0;406.9723077;394.25;;;;;;;
0;406.9723077;389.5;;;;;;;
0;406.9723077;384.75;;;;;;;
0;406.9723077;380;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;384.75;;;;;;;
0;330;389.5;;;;;;;
0;330;394.25;;;;;;;
0;330;399;;;;;;;
0;330;403.75;;;;;;;
0;330;408.5;;;;;;;
0;330;413.25;;;;;;;
0;330;418;;;;;;;
0;330;432.25;;;;;;;
0;330;446.5;;;;;;;
0;330;460.75;;;;;;;
0;330;475;;;;;;;
0;330;584.25;;;;;;;
0;330;693.5;;;;;;;
0;330;802.75;;;;;;;
0;410;912;;;;;;;
0;410;907.25;;;;;;;
0;410;902.5;;;;;;;
0;410;897.75;;;;;;;
0;410;893;;;;;;;
0;407.44;916.75;;;;;;;
0;407.44;940.5;;;;;;;
0;407.44;964.25;;;;;;;
0;407.44;988;;;;;;;
0;395.5015385;978.5;;;;;;;
0;395.5015385;969;;;;;;;
0;395.5015385;959.5;;;;;;;
0;395.5015385;950;;;;;;;
0;386.1476923;935.75;;;;;;;
0;386.1476923;921.5;;;;;;;
0;386.1476923;907.25;;;;;;;
0;386.1476923;893;;;;;;;
0;381.6676923;897.75;;;;;;;
0;381.6676923;902.5;;;;;;;
0;381.6676923;907.25;;;;;;;
0;381.6676923;912;;;;;;;
0;379.7230769;926.25;;;;;;;
0;379.7230769;940.5;;;;;;;
0;379.7230769;954.75;;;;;;;
0;379.7230769;969;;;;;;;
0;379.0584615;978.5;;;;;;;
0;379.0584615;988;;;;;;;
0;379.0584615;997.5;;;;;;;
0;379.0584615;1007;;;;;;;
0;380.4123077;973.75;;;;;;;
0;380.4123077;940.5;;;;;;;
0;380.4123077;907.25;;;;;;;
0;380.4123077;874;;;;;;;
0;379.8953846;888.25;;;;;;;
0;379.8953846;902.5;;;;;;;
0;379.8953846;916.75;;;;;;;
0;379.8953846;931;;;;;;;
0;382.8984615;940.5;;;;;;;
0;382.8984615;950;;;;;;;
0;382.8984615;959.5;;;;;;;
0;382.8984615;969;;;;;;;
0;388.9538462;959.5;;;;;;;
0;388.9538462;950;;;;;;;
0;388.9538462;940.5;;;;;;;
0;388.9538462;931;;;;;;;
0;397.4953846;817;;;;;;;
0;397.4953846;703;;;;;;;
0;397.4953846;589;;;;;;;
0;397.4953846;475;;;;;;;
0;402.3446154;460.75;;;;;;;
0;402.3446154;446.5;;;;;;;
0;402.3446154;432.25;;;;;;;
0;402.3446154;418;;;;;;;
0;407.0707692;413.25;;;;;;;
0;407.0707692;408.5;;;;;;;
0;407.0707692;403.75;;;;;;;
0;407.0707692;399;;;;;;;
0;410;394.25;;;;;;;
0;410;389.5;;;;;;;
0;410;384.75;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;410;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;384.75;;;;;;;
0;330;389.5;;;;;;;
0;330;394.25;;;;;;;
0;330;399;;;;;;;
0;330;403.75;;;;;;;
0;330;408.5;;;;;;;
0;330;413.25;;;;;;;
0;330;418;;;;;;;
0;330;432.25;;;;;;;
0;330;446.5;;;;;;;
0;330;460.75;;;;;;;
0;330;475;;;;;;;
0;330;584.25;;;;;;;
0;330;693.5;;;;;;;
0;330;802.75;;;;;;;
500;410;912;;;;;;;
500;410;907.25;;;;;;;
500;410;902.5;;;;;;;
500;410;897.75;;;;;;;
500;410;893;;;;;;;
466;405.3969231;916.75;;;;;;;
466;405.3969231;940.5;;;;;;;
466;405.3969231;964.25;;;;;;;
466;405.3969231;988;;;;;;;
392;395.3784615;978.5;;;;;;;
392;395.3784615;969;;;;;;;
392;395.3784615;959.5;;;;;;;
392;395.3784615;950;;;;;;;
337.0909091;387.9446154;935.75;;;;;;;
337.0909091;387.9446154;921.5;;;;;;;
337.0909091;387.9446154;907.25;;;;;;;
337.0909091;387.9446154;893;;;;;;;
318.7272727;385.4584615;897.75;;;;;;;
318.7272727;385.4584615;902.5;;;;;;;
318.7272727;385.4584615;907.25;;;;;;;
318.7272727;385.4584615;912;;;;;;;
312;384.5476923;926.25;;;;;;;
312;384.5476923;940.5;;;;;;;
312;384.5476923;954.75;;;;;;;
312;384.5476923;969;;;;;;;
309.8181818;384.2523077;978.5;;;;;;;
309.8181818;384.2523077;988;;;;;;;
309.8181818;384.2523077;997.5;;;;;;;
309.8181818;384.2523077;1007;;;;;;;
314.7272727;384.9169231;973.75;;;;;;;
314.7272727;384.9169231;940.5;;;;;;;
314.7272727;384.9169231;907.25;;;;;;;
314.7272727;384.9169231;874;;;;;;;
321.6363636;385.8523077;888.25;;;;;;;
321.6363636;385.8523077;902.5;;;;;;;
321.6363636;385.8523077;916.75;;;;;;;
321.6363636;385.8523077;931;;;;;;;
337.8181818;388.0430769;940.5;;;;;;;
337.8181818;388.0430769;950;;;;;;;
337.8181818;388.0430769;959.5;;;;;;;
337.8181818;388.0430769;969;;;;;;;
358.7272727;390.8738462;959.5;;;;;;;
358.7272727;390.8738462;950;;;;;;;
358.7272727;390.8738462;940.5;;;;;;;
358.7272727;390.8738462;931;;;;;;;
0;394.0246154;817;;;;;;;
0;394.0246154;703;;;;;;;
0;394.0246154;589;;;;;;;
0;394.0246154;475;;;;;;;
0;399.4153846;460.75;;;;;;;
0;399.4153846;446.5;;;;;;;
0;399.4153846;432.25;;;;;;;
0;399.4153846;418;;;;;;;
0;403.5507692;413.25;;;;;;;
0;403.5507692;408.5;;;;;;;
0;403.5507692;403.75;;;;;;;
0;403.5507692;399;;;;;;;
0;405.3476923;394.25;;;;;;;
0;405.3476923;389.5;;;;;;;
0;405.3476923;384.75;;;;;;;
0;405.3476923;380;;;;;;;
0;406.9969231;380;;;;;;;
0;406.9969231;380;;;;;;;
0;406.9969231;380;;;;;;;
0;406.9969231;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;384.75;;;;;;;
0;330;389.5;;;;;;;
0;330;394.25;;;;;;;
0;330;399;;;;;;;
0;330;403.75;;;;;;;
0;330;408.5;;;;;;;
0;330;413.25;;;;;;;
0;330;418;;;;;;;
0;330;432.25;;;;;;;
0;330;446.5;;;;;;;
0;330;460.75;;;;;;;
0;330;475;;;;;;;
0;330;584.25;;;;;;;
0;330;693.5;;;;;;;
0;330;802.75;;;;;;;
500;410;912;;;;;;;
456.7272727;404.1415385;907.25;;;;;;;
456.7272727;404.1415385;902.5;;;;;;;
456.7272727;404.1415385;897.75;;;;;;;
456.7272727;404.1415385;893;;;;;;;
410.9090909;397.9384615;916.75;;;;;;;
410.9090909;397.9384615;940.5;;;;;;;
410.9090909;397.9384615;964.25;;;;;;;
410.9090909;397.9384615;988;;;;;;;
380.9090909;393.8769231;978.5;;;;;;;
380.9090909;393.8769231;969;;;;;;;
380.9090909;393.8769231;959.5;;;;;;;
380.9090909;393.8769231;950;;;;;;;
361.4545455;391.2430769;935.75;;;;;;;
361.4545455;391.2430769;921.5;;;;;;;
361.4545455;391.2430769;907.25;;;;;;;
361.4545455;391.2430769;893;;;;;;;
341.6363636;388.56;897.75;;;;;;;
341.6363636;388.56;902.5;;;;;;;
341.6363636;388.56;907.25;;;;;;;
341.6363636;388.56;912;;;;;;;
332.9090909;387.3784615;926.25;;;;;;;
332.9090909;387.3784615;940.5;;;;;;;
332.9090909;387.3784615;954.75;;;;;;;
332.9090909;387.3784615;969;;;;;;;
333.6363636;387.4769231;978.5;;;;;;;
333.6363636;387.4769231;988;;;;;;;
333.6363636;387.4769231;997.5;;;;;;;
333.6363636;387.4769231;1007;;;;;;;
334.5454545;387.6;973.75;;;;;;;
334.5454545;387.6;940.5;;;;;;;
334.5454545;387.6;907.25;;;;;;;
334.5454545;387.6;874;;;;;;;
0;388.3138462;888.25;;;;;;;
0;388.3138462;902.5;;;;;;;
0;388.3138462;916.75;;;;;;;
0;388.3138462;931;;;;;;;
0;389.2984615;940.5;;;;;;;
0;389.2984615;950;;;;;;;
0;389.2984615;959.5;;;;;;;
0;389.2984615;969;;;;;;;
0;390.5292308;959.5;;;;;;;
0;390.5292308;950;;;;;;;
0;390.5292308;940.5;;;;;;;
0;390.5292308;931;;;;;;;
0;391.4892308;817;;;;;;;
0;391.4892308;703;;;;;;;
0;391.4892308;589;;;;;;;
0;391.4892308;475;;;;;;;
0;392.6461538;460.75;;;;;;;
0;392.6461538;446.5;;;;;;;
0;392.6461538;432.25;;;;;;;
0;392.6461538;418;;;;;;;
0;393.1630769;413.25;;;;;;;
0;393.1630769;408.5;;;;;;;
0;393.1630769;403.75;;;;;;;
0;393.1630769;399;;;;;;;
0;394;394.25;;;;;;;
0;394;389.5;;;;;;;
0;394;384.75;;;;;;;
0;394;380;;;;;;;
0;395.0092308;380;;;;;;;
0;395.0092308;380;;;;;;;
0;395.0092308;380;;;;;;;
0;395.0092308;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;384.75;;;;;;;
0;330;389.5;;;;;;;
0;330;394.25;;;;;;;
0;330;399;;;;;;;
0;330;403.75;;;;;;;
0;330;408.5;;;;;;;
0;330;413.25;;;;;;;
0;330;418;;;;;;;
0;330;432.25;;;;;;;
0;330;446.5;;;;;;;
0;330;460.75;;;;;;;
0;330;475;;;;;;;
0;330;584.25;;;;;;;
0;330;693.5;;;;;;;
0;330;802.75;;;;;;;
0;398.3076923;912;;;;;;;
0;396.7076923;907.25;;;;;;;
0;396.7076923;902.5;;;;;;;
0;396.7076923;897.75;;;;;;;
0;396.7076923;893;;;;;;;
0;397.6676923;916.75;;;;;;;
0;397.6676923;940.5;;;;;;;
0;397.6676923;964.25;;;;;;;
0;397.6676923;988;;;;;;;
0;390.9969231;978.5;;;;;;;
0;390.9969231;969;;;;;;;
0;390.9969231;959.5;;;;;;;
0;390.9969231;950;;;;;;;
0;387.3292308;935.75;;;;;;;
0;387.3292308;921.5;;;;;;;
0;387.3292308;907.25;;;;;;;
0;387.3292308;893;;;;;;;
0;386.4923077;897.75;;;;;;;
0;386.4923077;902.5;;;;;;;
0;386.4923077;907.25;;;;;;;
0;386.4923077;912;;;;;;;
