Tamb
0
2.44
2.44
2.44
2.44
1.8
1.8
1.8
1.8
1.61
1.61
1.61
1.61
1.58
1.58
1.58
1.58
1.2
1.2
1.2
1.2
0.6
0.6
0.6
0.6
-0.05
-0.05
-0.05
-0.05
1.3
1.3
1.3
1.3
2.63
2.63
2.63
2.63
5.57
5.57
5.57
5.57
7.53
7.53
7.53
7.53
8.35
8.35
8.35
8.35
8.91
8.91
8.91
8.91
9.25
9.25
9.25
9.25
9.26
9.26
9.26
9.26
8.4
8.4
8.4
8.4
8.36
8.36
8.36
8.36
7.48
7.48
7.48
7.48
6.57
6.57
6.57
6.57
4.59
4.59
4.59
4.59
2.75
2.75
2.75
2.75
1.2
1.2
1.2
1.2
0.25
0.25
0.25
0.25
-0.38
-0.38
-0.38
-0.38
-0.79
-0.79
-0.79
-0.79
-1.57
-1.57
-1.57
-1.57
-1.51
-1.51
-1.51
-1.51
-1.55
-1.55
-1.55
-1.55
-1.66
-1.66
-1.66
-1.66
-1.76
-1.76
-1.76
-1.76
-1.86
-1.86
-1.86
-1.86
-0.72
-0.72
-0.72
-0.72
1.37
1.37
1.37
1.37
5.26
5.26
5.26
5.26
8.02
8.02
8.02
8.02
9.41
9.41
9.41
9.41
10.02
10.02
10.02
10.02
10.11
10.11
10.11
10.11
9.7
9.7
9.7
9.7
8.48
8.48
8.48
8.48
6.26
6.26
6.26
6.26
3.74
3.74
3.74
3.74
1.88
1.88
1.88
1.88
1.34
1.34
1.34
1.34
0.79
0.79
0.79
0.79
0.6
0.6
0.6
0.6
0.24
0.24
0.24
0.24
0.01
0.01
0.01
0.01
-0.66
-0.66
-0.66
-0.66
-0.2
-0.2
-0.2
-0.2
-0.53
-0.53
-0.53
-0.53
-0.82
-0.82
-0.82
-0.82
-1.01
-1.01
-1.01
-1.01
-1.24
-1.24
-1.24
-1.24
-1.1
-1.1
-1.1
-1.1
-0.44
-0.44
-0.44
-0.44
0.38
0.38
0.38
0.38
3.24
3.24
3.24
3.24
4.09
4.09
4.09
4.09
4.28
4.28
4.28
4.28
4.32
4.32
4.32
4.32
3.91
3.91
3.91
3.91
3.22
3.22
3.22
3.22
2.53
2.53
2.53
2.53
1.57
1.57
1.57
1.57
0.49
0.49
0.49
0.49
-0.69
-0.69
-0.69
-0.69
-0.95
-0.95
-0.95
-0.95
-1.38
-1.38
-1.38
-1.38
-2.07
-2.07
